Date,Jurisdiction,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,M1_Wildcard,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
20200323,NAT_TOTAL,3.0,1.0,3.0,1.0,2.0,1.0,4.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2989616.7,0.0,,,12668.0,364.0,78.24,78.24,80.95,80.95,65.18,65.18,61.46,61.46,87.5,87.5
20200324,NAT_TOTAL,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,15039.0,512.0,79.63,79.63,80.95,80.95,66.07,66.07,62.5,62.5,87.5,87.5
20200325,NAT_TOTAL,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,17732.0,703.0,79.63,79.63,80.95,80.95,66.07,66.07,62.5,62.5,87.5,87.5
20200326,NAT_TOTAL,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,254591132.11,0.0,,,20816.0,884.0,79.63,79.63,80.95,80.95,67.86,67.86,62.5,62.5,100.0,100.0
20200327,NAT_TOTAL,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,24017.0,1172.0,79.63,79.63,80.95,80.95,67.86,67.86,62.5,62.5,100.0,100.0
20200328,NAT_TOTAL,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,26839.0,1464.0,79.63,79.63,80.95,80.95,67.86,67.86,62.5,62.5,100.0,100.0
20200329,NAT_TOTAL,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,29696.0,1676.0,79.63,79.63,80.95,80.95,67.86,67.86,62.5,62.5,100.0,100.0
20200330,NAT_TOTAL,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,33969.0,2050.0,79.63,79.63,80.95,80.95,67.86,67.86,62.5,62.5,100.0,100.0
20200331,NAT_TOTAL,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,38484.0,2453.0,79.63,79.63,80.95,80.95,67.86,67.86,62.5,62.5,100.0,100.0
20200401,NAT_TOTAL,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,43398.0,3125.0,79.63,79.63,80.95,80.95,67.86,67.86,62.5,62.5,100.0,100.0
